id,street_address,city,state
1,900 Jenifer Plaza,San Diego,California
2,658 Weeping Birch Plaza,Burbank,California
3,6 Luster Pass,Washington,District of Columbia
4,336 Colorado Hill,Carson City,Nevada
5,217 Fair Oaks Center,Columbia,Missouri
6,7182 Lotheville Way,San Jose,California
7,79 Bonner Way,Charlotte,North Carolina
8,1 Dennis Street,Washington,District of Columbia
9,8432 Oakridge Park,Boise,Idaho
10,40 Melody Street,Modesto,California
11,7 Prairieview Circle,Erie,Pennsylvania
12,01934 Nevada Court,Torrance,California
13,44935 Arkansas Center,Corpus Christi,Texas
14,693 Buena Vista Hill,New York City,New York
15,3959 Bonner Drive,Appleton,Wisconsin
16,7 Jackson Avenue,Hollywood,Florida
17,13142 Armistice Crossing,San Antonio,Texas
18,8 Blackbird Point,Tacoma,Washington
19,725 Elmside Hill,Littleton,Colorado
20,5402 Talmadge Crossing,Chesapeake,Virginia
21,56114 Mallard Lane,Louisville,Kentucky
22,951 Waubesa Park,Tallahassee,Florida
23,5498 Golf Course Parkway,Reno,Nevada
24,6 Monterey Way,Atlanta,Georgia
25,05 Judy Street,Montgomery,Alabama
26,18886 Riverside Circle,New York City,New York
27,03487 Arkansas Trail,Huntington,West Virginia
28,9842 Crowley Parkway,Decatur,Georgia
29,0 Waywood Center,Washington,District of Columbia
30,7 Lotheville Center,Austin,Texas
31,76515 Crest Line Avenue,Laurel,Maryland
32,461 Meadow Vale Parkway,Louisville,Kentucky
33,04 Judy Lane,Modesto,California
34,516 Warbler Point,Charlotte,North Carolina
35,02764 Kenwood Street,Gainesville,Florida
36,5568 Emmet Center,Honolulu,Hawaii
37,87670 Tony Street,Terre Haute,Indiana
38,38076 Cambridge Park,Houston,Texas
39,8801 Larry Crossing,Denver,Colorado
40,47 Kenwood Court,Newton,Massachusetts
41,28 Warner Place,Beaumont,Texas
42,845 Lyons Pass,Tulsa,Oklahoma
43,141 Ridgeway Way,Houston,Texas
44,42 Lake View Place,Chicago,Illinois
45,27508 Vernon Crossing,Albuquerque,New Mexico
46,56 Carioca Parkway,Omaha,Nebraska
47,1 Ryan Circle,Charleston,South Carolina
48,4762 Barby Plaza,Pittsburgh,Pennsylvania
49,88 Jenifer Court,Detroit,Michigan
50,9 Hooker Crossing,Huntington,West Virginia
51,35761 Northview Court,Fresno,California
52,663 Michigan Drive,Salt Lake City,Utah
53,086 Ruskin Way,Flint,Michigan
54,640 Crest Line Plaza,Atlanta,Georgia
55,63 Prairieview Lane,Chattanooga,Tennessee
56,5306 Fulton Way,Dayton,Ohio
57,28199 Norway Maple Trail,New York City,New York
58,1 Bartelt Alley,Evansville,Indiana
59,477 Buell Place,Fort Wayne,Indiana
60,0 Elmside Street,New Castle,Pennsylvania
61,2 South Drive,Norwalk,Connecticut
62,70 Fisk Point,Fort Worth,Texas
63,01 Morning Road,Visalia,California
64,83121 Stephen Hill,Arvada,Colorado
65,61 Blue Bill Park Junction,Lansing,Michigan
66,46 Tony Center,Independence,Missouri
67,25 Sage Place,Chicago,Illinois
68,343 Bellgrove Hill,Arlington,Texas
69,89193 Dorton Court,Pensacola,Florida
70,9927 Roxbury Terrace,Richmond,Virginia
